ID,Updated on (date),Region,State,Name of Initiative,Nature,Ongoing Grant Cycle,Budget as per Sanctioned AER,Registration Status - FCRA / Non-FC,CRY Location,CRY Support Since,Available for booking,CRY Theme: Education (Y/N),CRY Theme: Protection (Y/N),CRY Theme: Health (Y/N),CRY Theme: Nutrition (Y/N),CRY Theme: Participation (Y/N),CRY Theme: Others (Y/N),DS Remarks
63,Oct-17,North,Madhya Pradesh,HIFAZAT: A Coalition for Child Protection in MP through Vikas Samvad Samiti,Network/Alliance,Jan-16 - Jun-17,No Grant,N/A,N/A,Jan-16 - Jun-17,Not-Available,N,N,N,N,N,N,N/A
62,Oct-17,North,Haryana,Bal Bigul through PAPN,Network/Alliance,Jan-16 - Jun-17,No Grant,N/A,N/A,Jan-16 - Jun-17,Not-Available,N,N,N,N,N,N,N/A
61,Oct-17,North,Delhi,Walter Peter,Individual Fellow,Jan-16 - Jun-17,No Grant,N/A,N/A,Jan-16 - Jun-17,Not-Available,N,N,N,N,N,N,N/A
60,Oct-17,North,Delhi,Rajeev Neelu Kachwaha Public Charitable Trust (SWATI),Implementing,Jan-16 - Jun-17,No Grant,N/A,N/A,Jan-16 - Jun-17,Not-Available,N,N,N,N,N,N,N/A
59,Oct-17,North,Delhi,PAHAL Multipurpose Organization,Implementing,Jan-16 - Jun-17,No Grant,N/A,N/A,Jan-16 - Jun-17,Not-Available,N,N,N,N,N,N,N/A
58,Oct-17,National (HO),National (HO),Right to ECD Alliance,Resource Orgs,Jan-16 - Jun-17,No Grant,N/A,N/A,Jan-16 - Jun-17,Not-Available,N,N,N,N,N,N,N/A
57,Oct-17,East,West Bengal,West Bengal Education Network (WBEN) through Kajla Janakalyan Samity,Network/Alliance,Jan-16 - Jun-17,No Grant,N/A,N/A,Jan-16 - Jun-17,Not-Available,N,N,N,N,N,N,N/A
56,Oct-17,East,West Bengal,Diksha,Implementing,Jan-16 - Jun-17,No Grant,N/A,N/A,Jan-16 - Jun-17,Not-Available,N,N,N,N,N,N,N/A
55,Oct-17,East,Jharkhand,"Society for Advancement in Tribes, Health, Education, Environment (SATHEE)",Implementing,Jan-16 - Jun-17,No Grant,N/A,N/A,Jan-16 - Jun-17,Not-Available,N,N,N,N,N,N,N/A
54,Oct-17,West,Maharashtra,Vidhayak Bharati,Implementing,Jan-17 - Dec-17,No Grant,N/A,N/A,Jan-17 - Dec-17,Not-Available,N,N,N,N,N,N,N/A
53,Oct-17,West,Maharashtra,Vidarbha - Zhadapatti Initiatives thru SRISHTI,Implementing,Jan-17 - Dec-17,No Grant,N/A,N/A,Jan-17 - Dec-17,Not-Available,N,N,N,N,N,N,N/A
52,Oct-17,West,Maharashtra,SPARSHA Charitable Trust,Implementing,Jan-17 - Dec-17,No Grant,N/A,N/A,Jan-17 - Dec-17,Not-Available,N,N,N,N,N,N,N/A
51,Oct-17,West,Maharashtra,Bal Hakk Abhiyan - thru Sankalp,Network/Alliance,Jan-17 - Dec-17,No Grant,N/A,N/A,Jan-17 - Dec-17,Not-Available,N,N,N,N,N,N,N/A
50,Oct-17,West,Gujarat,Gram Swaraj Sangh (GSS),Implementing,Jan-17 - Dec-17,No Grant,N/A,N/A,Jan-17 - Dec-17,Not-Available,N,N,N,N,N,N,N/A
49,Oct-17,West,Chattishgarh,Path Pradarshak,Implementing,Jan-17 - Dec-17,No Grant,N/A,N/A,Jan-17 - Dec-17,Not-Available,N,N,N,N,N,N,N/A
48,Oct-17,West,Chattishgarh,Mitwa Mahila Kalyan Evam Seva Samiti (MMKSS),Implementing,Jan-17 - Dec-17,No Grant,N/A,N/A,Jan-17 - Dec-17,Not-Available,N,N,N,N,N,N,N/A
47,Oct-17,South,Tamil Nadu,Slum Children Sports Talents Education Development Society (SCSTEDS),Implementing,Jan-17 - Dec-17,No Grant,N/A,N/A,Jan-17 - Dec-17,Not-Available,N,N,N,N,N,N,N/A
46,Oct-17,South,Tamil Nadu,Rural Workers Development Society (RWDS),Implementing,Jan-17 - Dec-17,No Grant,N/A,N/A,Jan-17 - Dec-17,Not-Available,N,N,N,N,N,N,N/A
